ID;NOME;CODIGO;CATEGORIA;UNIDADE
106;BOLO DE FATIA SABORES 130G;10001;ARTESANAIS;UN
203;BOLO DE FATIA SABORES 220G;10009;ARTESANAIS;UN
1629;BOMBOM LACTA CAIXA FAVORITOS 250,6G;7622210596413;DOCES;UN
298;BOMBONS DE SORVETES;10016;DOCES;UN
211;BROWNIE COOKIES CREAM 80G;609963480678;DOCES;UN
197;BROWNIE CREME DE AVELA 80G;609963480630;DOCES;UN
196;BROWNIE DOCE DE LEITE 80G;609963480647;DOCES;UN
10;BROWNIE TRADICIONAL 65G;609963480623;DOCES;UN
1548;CAFE  GOURM 3 CORAÇOES 250G;7896045101665;MERCEARIA;UN
1547;CAFE GOURM 3 CORAÇÕES CERRADO 250G;7896045101658;MERCEARIA;UN
1625;CALDO DE GALINHA MAGGI 19GR;7891000242483;MERCEARIA;UN
299;CANJICA DOCE;10017;ARTESANAIS;UN
1436;CAPA FILE RESFRIADO PLENA;10055;CARNES;UN
1595;CERVEJA AMSTEL ULTRA LT 350ML;7896045507610;BEBIDA ALCÓLICA;UN
1426;CERVEJA HEINEKEN LONG NECK 330ML;7896045505371;BEBIDA ALCÓLICA;UN
1397;CERVEJA PURO MALTE AMSTEL LATA 350ML;7896045506934;BEBIDA ALCÓLICA;UN
74;CHA ICE TEA PESSEGO LEAO;7891098040893;BEBIDA NÃO ALCÓLICA;UN
239;CHA ICE TEA PESSEGO LEAO 300ML;7891098042149;BEBIDA NÃO ALCÓLICA;UN
1572;CHAMPIGNON INTEIRO VALE FERTIL SCH 100G;7896272009406;MERCEARIA;UN
1527;CHEETOS ELMA CHIPS 80G LUA PARMESSAO;7892840824921;SALGADOS E SNACKS;UN
1583;CHICKEN CRISPY TRADICIONAL;7894904684359;FRIOS E LATICINIOS;UN
1517;CHICLE SALADA FRUTAS 80G;7898279795061;DOCES;UN
178;CHIPS DE MANDIOCA SABOR CHIMICHURRI 50G;7898380412277;LINHA FIT;UN
1630;CHOC LACTA BIS BRANCO 100 08GR;7622210575999;DOCES;UN
1519;CHOC NESTLE SUFLAIR BR 80G DUO;7891000455708;DOCES;UN
1588;CHOC RECHEADO OURO BRANCO 25G;7622210570116;DOCES;UN
13;CHOCOLATE  KIT KAT AO LEITE 41,5G;7891000248768;DOCES;UN
1305;CHOCOLATE AO LEITE CREMOSO 80G;7891000369098;DOCES;UN
1631;CHOCOLATE BIS ORIGINAL AO LEITE 1008G;7622210575975;DOCES;UN
14;CHOCOLATE KIT KAT DARK 41,5G;7891000248829;DOCES;UN
1589;CHOCOLATE SNICKERS BRANCO 40G;7896423439038;DOCES;UN
16;CHOCOLATE SNICKERS ORIGINAL 42G;7896423420180;DOCES;UN
15;CHOCOLATE SNICKERS WHITE 42G;7896423488883;DOCES;UN
198;CHOCOLATE SONHO DE VALSA 25G;7622210570086;DOCES;UN
17;CHOCOLATE STIKADINHO MORANGO 12G;78929340;DOCES;UN
247;CHOCOLATE TRENTO BRANCO COOKIES 25G;7896306625022;DOCES;UN
300;CLUB SOCIAL SNACK CEBOLA E SALSA 68G;7622210532985;DOCES;UN
1;COCA COLA LATA 350 ML;7894900010015;BEBIDA NÃO ALCÓLICA;UN
1420;COCA COLA PET 2L;7894900011517;BEBIDA NÃO ALCÓLICA;UN
101;COCA COLA ZERO ACUCAR 1,5L;7894900702354;BEBIDA NÃO ALCÓLICA;UN
1571;COCO RALADO MENINA 50G;7896028030661;MERCEARIA;UN
1555;COMFORT AMAC INTENSE ORIGINAL 1L;7891150028944;HIGIENE E LIMPEZA;UN
88;COOKIE GALAK GOTAS NESTLE 60G;7891000350072;DOCES;UN
87;COOKIE PASSATEMPO NESTLE 60G;7891000109298;DOCES;UN
89;COOKIES CHOCOLATE NESTLE 60G;7891000247648;DOCES;UN
1319;COOKIES NESTLE SABORES 60G;7891000339596;DOCES;UN
32;COPO DESCARTAVEL TRANSPARENTE 50 UN 330ML;7898339100927;DESCARTÁVEIS E UTILIDADES;UN
216;COQUETELEIRA ORIGINAL NUTRITION;7908589907570;MATERIAIS ESPORTIVOS;UN
183;CREATINA DYMEX NUTRITION SACHÊ 3G;7907652410542;SUPLEMENTOS;UN
222;CREATINA MULHER MONARKA 300G;7896782758221;SUPLEMENTOS;UN
218;CREATINA ORIGINAL NUTRITION 100G;7908589903770;SUPLEMENTOS;UN
1616;DEL VALLE MANGA 1L;7894900660357;BEBIDA NÃO ALCÓLICA;UN
1617;DEL VALLE MANGA 1L;7894900660357;BEBIDA NÃO ALCÓLICA;UN
1556;DETERGENTE PO LAVAGEM PERFEITA 1,6 KG;7891150064331;HIGIENE E LIMPEZA;UN
257;EMPANADA SABORES 80G;10015;ARTESANAIS;UN
1601;EMPANADO AURGGETS 275G TRAD;7891164110697;FRIOS E LATICINIOS;UN
225;ENERGETICO BALY MORANGO E PESSEGO 250ML;7898080665010;BEBIDA NÃO ALCÓLICA;UN
67;ENERGETICO BALY MORANGO E PESSEGO 473ML;7898080665003;BEBIDA NÃO ALCÓLICA;UN
226;ENERGETICO BALY ORIGINAL 250ML;7898080662262;BEBIDA NÃO ALCÓLICA;UN
256;ENERGETICO BALY ORIGINAL 473ML;7898080663733;BEBIDA NÃO ALCÓLICA;UN
60;ENERGETICO BALY ORIGINAL 473ML;7898080663733;BEBIDA NÃO ALCÓLICA;UN
1508;ENERGETICO ITTIS SERO SABOR ORIGINAL 269ML;7898967406651;BEBIDA NÃO ALCÓLICA;UN
205;ENERGETICO MONSTER ENERGY 473ML;070847022015;BEBIDA NÃO ALCÓLICA;UN
199;ENERGETICO MONSTER ENERGY LATA DESCARTAVEL 473ML;0070847022015;BEBIDA NÃO ALCÓLICA;UN
204;ENERGETICO MONSTER ENERGY LATA DESCARTAVEL 473ML;070847022015;BEBIDA NÃO ALCÓLICA;UN
1542;ERVILHA 170G PREDILECTA;7896292340541;MERCEARIA;UN
1550;ESCOVA COLGATE PREMIER ULTRA;6910021007206;HIGIENE E LIMPEZA;UN
1626;EXTRATO TOMATE POMODORO SACHE 300G C06;7896036001431;MERCEARIA;UN
1621;FANDANGOS QUEIJO 85G;7892840825058;SALGADOS E SNACKS;UN
1635;FEIJAO PEROLA 1KG;7897782800057;MERCEARIA;UN
1623;FERM PO ROYAL 100 G;7622300119621;MERCEARIA;UN
1599;FETUCCINI AO MOLHO BRANCO 300G;7891515606435;FRIOS E LATICINIOS;UN
1600;FETUCCINI CMOL BOLONHESA CONG PD 300G;7891515605803;FRIOS E LATICINIOS;UN
251;FITA DE DEDO PARA JIU JITSU 10M;10014;MATERIAIS ESPORTIVOS;UN
1549;FOFO AMACIANTE CONCENTRADO 500ML;7891150092747;HIGIENE E LIMPEZA;UN
1632;FOLHA DE ALUMINIO ALFALUMINIO 30CMX4M;7896300500868;DESCARTÁVEIS E UTILIDADES;UN
1561;FONE DE OUVIDO HEADPHONE;7888927400713;MATERIAIS ELETRONICOS;UN
1618;GALO MACARRAO SEMOLA ESPAGUETE 8 500G;7896022200756;MERCEARIA;UN
1620;GALO MACARRAO SEMOLA PARAFUSO 500G;7896022200534;MERCEARIA;UN
31;GARFO SOBREMESA BRANCO 50UN;7896343099442;DESCARTÁVEIS E UTILIDADES;UN
243;GARFO SOBREMESA BRANCO STRAWPLAST;7898202615206;DESCARTÁVEIS E UTILIDADES;UN
1614;GATORADE TANGERINA  500ML;7892840808044;BEBIDA NÃO ALCÓLICA;UN
181;GEL DE CARBOIDRATO GUARANA COM AÇAI 30G;7897104925697;SUPLEMENTOS;UN
180;GEL DE CARBOIDRATO MORANGO 30G;7897104925680;SUPLEMENTOS;UN
1552;GELATINA PO ABACAXI 20G PREDILECTA;7896292312180;MERCEARIA;UN
1554;GELATINA PO CEREJA 20G PREDILECTA;7896292312173;MERCEARIA;UN
1551;GELATINA PO MARACUJA 20G PREDILECTA;7896292312142;MERCEARIA;UN
1553;GELATINA PO UVA 20G PREDILECTA;7896292312159;MERCEARIA;UN
164;GUADARNAPO DE PAPEL MAXIM 50 UN;7896026850070;DESCARTÁVEIS E UTILIDADES;UN
130;GUARA BLACK 290ML;7898996459505;BEBIDA NÃO ALCÓLICA;UN
76;GUARANA ANTARCTICA 1,5 L;7891991008761;BEBIDA NÃO ALCÓLICA;UN
1386;GUARANA ANTARCTICA PET 2L;7891991001342;BEBIDA NÃO ALCÓLICA;UN
1612;GUARANA ANTARCTICA PET 600ML;7891991002646;BEBIDA NÃO ALCÓLICA;UN
75;GUARANA ANTARCTICA ZERO 1,5L;7891991008785;BEBIDA NÃO ALCÓLICA;UN
175;GUARAVITON ACAI 500ML;7896326100219;BEBIDA NÃO ALCÓLICA;UN
176;GUARAVITON CATUABA 500ML;7896326100233;BEBIDA NÃO ALCÓLICA;UN
174;GUARAVITON GYNSENG 500ML;7896326100226;BEBIDA NÃO ALCÓLICA;UN
282;GUARAVITON ZERO 500ML;7896326100257;BEBIDA NÃO ALCÓLICA;UN
1303;GUARDANAPO DE PAPEL FLORAX C/50;7898933061303;DESCARTÁVEIS E UTILIDADES;UN
234;HALLS MORANGO 28G;78938847;DOCES;UN
4;HALLS UVA VERDE 28G;78938861;DOCES;UN
1569;HELLMANNS KETCHUP TRADICIONAL  380G;7891150027848;MERCEARIA;UN
1566;HELLMANNS MAIONESE 250G;7894000050027;MERCEARIA;UN
1570;HELLMANNS MOSTARDA 170G;7891150027794;MERCEARIA;UN
207;HYDRO PROTEIN  MOVING FRUTAS VERMELHAS 500ML;7896050201886;BEBIDA NÃO ALCÓLICA;UN
172;HYDRO PROTEIN MOVING FRUTAS VERMELHAS 500ML;7896050201886;BEBIDA NÃO ALCÓLICA;UN
170;HYDRO PROTEIN MOVING TANGERINA 500ML;7896050201749;BEBIDA NÃO ALCÓLICA;UN
171;HYDRO PROTEIN MOVING TANGERINA 500ML;7896050201756;BEBIDA NÃO ALCÓLICA;UN
173;HYDRO PROTEIN MOVING UVA 500ML;7896050201763;BEBIDA NÃO ALCÓLICA;UN
1394;ICE 51 FRUIT MIX GARRAFA 275ML;7896002111508;BEBIDA ALCÓLICA;UN
1449;IOGURTE GREGO TRADICIONAL BATAVO 100G;7891097000270;FRIOS E LATICINIOS;UN
1459;IOGURTE PENSE MORANGO BATAVO 100G;7891097000713;FRIOS E LATICINIOS;UN
1448;IOGURTE ZERO BATAVO 170G;7891097101892;FRIOS E LATICINIOS;UN
1321;ITTS SUPER DRINK PREMIUM MANGA COM PESSEGO SERO 269ML;7898967406750;BEBIDA NÃO ALCÓLICA;UN
240;JOELHEIRA;10011;MATERIAIS ESPORTIVOS;UN
158;KIT HIGIENE PESSOAL;10005;HIGIENE E LIMPEZA;UN
1598;LASANHA 4 QUEIJOS AIR FRYER SEARA 300G;7894904605019;FRIOS E LATICINIOS;UN
1597;LASANHA 4QJ AIRFRYER SEARA 300G;7894904605033;FRIOS E LATICINIOS;UN
1596;LASANHA BOLONHESA AIR FRYER SEARA 350G;7894904605002;FRIOS E LATICINIOS;UN
1564;LEITE COCO DU COCO 200 ML;7896016601408;MERCEARIA;UN
52;LEITE DESNATADO ITALAC 1L;7898080640635;BEBIDA NÃO ALCÓLICA;UN
